,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.0042449000175111,10.0,25.0,25,0.1,1000
1,1,0.015077700023539364,16.0,52.0,25,0.1,1000
2,2,0.019695399998454377,16.0,78.0,25,0.1,1000
3,3,0.024268100009066984,16.0,104.0,25,0.1,1000
4,4,0.02889280000817962,19.0,131.0,25,0.1,1000
5,5,0.03337879999889992,19.0,157.0,25,0.1,1000
6,6,0.03784360000281595,19.0,183.0,25,0.1,1000
7,7,0.04224040001281537,19.0,209.0,25,0.1,1000
8,8,0.04663029999937862,19.0,235.0,25,0.1,1000
9,9,0.05109490000177175,19.0,261.0,25,0.1,1000
10,10,0.05577620002441108,21.0,288.0,25,0.1,1000
11,11,0.06016930000623688,21.0,314.0,25,0.1,1000
12,12,0.0645708000229206,21.0,340.0,25,0.1,1000
13,13,0.06918900000164285,21.0,366.0,25,0.1,1000
14,14,0.07378440001048148,22.0,393.0,25,0.1,1000
15,15,0.07810159999644384,22.0,419.0,25,0.1,1000
16,16,0.08252419999917038,26.0,446.0,25,0.1,1000
17,17,0.0874113000172656,28.0,473.0,25,0.1,1000
18,18,0.09164700002293102,28.0,499.0,25,0.1,1000
19,19,0.09589039999991655,28.0,525.0,25,0.1,1000
20,20,0.10035079999943264,28.0,551.0,25,0.1,1000
21,21,0.10475420000148006,28.0,577.0,25,0.1,1000
22,22,0.10911160000250675,28.0,603.0,25,0.1,1000
23,23,0.11350490001495928,28.0,629.0,25,0.1,1000
24,24,0.11790700000710785,28.0,655.0,25,0.1,1000
25,25,0.12225899999612011,28.0,681.0,25,0.1,1000
26,26,0.12659040000289679,28.0,707.0,25,0.1,1000
27,27,0.13095350001822226,28.0,733.0,25,0.1,1000
28,28,0.13537660002475604,28.0,759.0,25,0.1,1000
29,29,0.1395924000244122,28.0,785.0,25,0.1,1000
30,30,0.14385680001578294,28.0,811.0,25,0.1,1000
31,31,0.14812060000258498,28.0,837.0,25,0.1,1000
32,32,0.15249980002408847,28.0,863.0,25,0.1,1000
33,33,0.15691930000321008,28.0,889.0,25,0.1,1000
34,34,0.16128050000406802,28.0,915.0,25,0.1,1000
35,35,0.16564910000306554,28.0,941.0,25,0.1,1000
36,36,0.17003790001035668,28.0,967.0,25,0.1,1000
37,37,0.1743754000053741,28.0,993.0,25,0.1,1000
38,38,0.1789110000245273,28.0,1019.0,25,0.1,1000
39,39,0.18348090001381934,28.0,1045.0,25,0.1,1000
40,40,0.18801340000936761,28.0,1071.0,25,0.1,1000
41,41,0.19244199999957345,28.0,1097.0,25,0.1,1000
42,42,0.19673750002402812,28.0,1123.0,25,0.1,1000
43,43,0.20109159999992698,28.0,1149.0,25,0.1,1000
44,44,0.20529320000787266,28.0,1175.0,25,0.1,1000
45,45,0.20953680001548491,28.0,1201.0,25,0.1,1000
46,46,0.21365879999939352,28.0,1227.0,25,0.1,1000
47,47,0.21784009999828413,28.0,1253.0,25,0.1,1000
48,48,0.2219829999958165,28.0,1279.0,25,0.1,1000
49,49,0.22613120000460185,28.0,1305.0,25,0.1,1000
50,50,0.23022100000525825,28.0,1331.0,25,0.1,1000
51,51,0.23441460001049563,28.0,1357.0,25,0.1,1000
52,52,0.23857560000033118,28.0,1383.0,25,0.1,1000
53,53,0.24274119999608956,28.0,1409.0,25,0.1,1000
54,54,0.24687360000098124,28.0,1435.0,25,0.1,1000
55,55,0.2511651999957394,28.0,1461.0,25,0.1,1000
56,56,0.2552819999982603,28.0,1487.0,25,0.1,1000
57,57,0.25943140001618303,28.0,1513.0,25,0.1,1000
58,58,0.2635580000060145,28.0,1539.0,25,0.1,1000
59,59,0.26771529999678023,28.0,1565.0,25,0.1,1000
60,60,0.2718598000064958,28.0,1591.0,25,0.1,1000
61,61,0.27599530000588857,28.0,1617.0,25,0.1,1000
62,62,0.28014750001602806,28.0,1643.0,25,0.1,1000
63,63,0.28432070001144893,28.0,1669.0,25,0.1,1000
64,64,0.289343500015093,28.0,1695.0,25,0.1,1000
65,65,0.2943198000139091,28.0,1721.0,25,0.1,1000
66,66,0.2988647000165656,28.0,1747.0,25,0.1,1000
67,67,0.30317420000210404,28.0,1773.0,25,0.1,1000
68,68,0.30746400001225993,28.0,1799.0,25,0.1,1000
69,69,0.3117631000059191,28.0,1825.0,25,0.1,1000
70,70,0.31601000000955537,28.0,1851.0,25,0.1,1000
71,71,0.32026150001911446,28.0,1877.0,25,0.1,1000
72,72,0.32449920001090504,28.0,1903.0,25,0.1,1000
73,73,0.32884220001869835,28.0,1929.0,25,0.1,1000
74,74,0.33315660001244396,28.0,1955.0,25,0.1,1000
75,75,0.33743900002446026,28.0,1981.0,25,0.1,1000
76,76,0.3417560000088997,28.0,2007.0,25,0.1,1000
77,77,0.34619420001399703,28.0,2033.0,25,0.1,1000
78,78,0.35056710001663305,28.0,2059.0,25,0.1,1000
79,79,0.3547322000085842,28.0,2085.0,25,0.1,1000
80,80,0.358880500018131,28.0,2111.0,25,0.1,1000
81,81,0.36299850000068545,28.0,2137.0,25,0.1,1000
82,82,0.36726009999983944,28.0,2163.0,25,0.1,1000
83,83,0.37145870001404546,28.0,2189.0,25,0.1,1000
84,84,0.375700800010236,28.0,2215.0,25,0.1,1000
85,85,0.379883300018264,28.0,2241.0,25,0.1,1000
86,86,0.38419969999813475,28.0,2267.0,25,0.1,1000
87,87,0.38838509999914095,28.0,2293.0,25,0.1,1000
88,88,0.3925582000229042,28.0,2319.0,25,0.1,1000
89,89,0.39682059999904595,28.0,2345.0,25,0.1,1000
90,90,0.401270200003637,28.0,2371.0,25,0.1,1000
91,91,0.4058427000127267,28.0,2397.0,25,0.1,1000
92,92,0.41018390000681393,28.0,2423.0,25,0.1,1000
93,93,0.4144970000197645,28.0,2449.0,25,0.1,1000
94,94,0.4188821999996435,28.0,2475.0,25,0.1,1000
95,95,0.4231281999964267,28.0,2501.0,25,0.1,1000
96,96,0.42733550001867115,28.0,2527.0,25,0.1,1000
97,97,0.43156330002238974,28.0,2553.0,25,0.1,1000
98,98,0.43580360000487417,28.0,2579.0,25,0.1,1000
99,99,0.4399891000066418,28.0,2605.0,25,0.1,1000
100,100,0.4441999999980908,28.0,2631.0,25,0.1,1000
101,101,0.4484318000031635,28.0,2657.0,25,0.1,1000
102,102,0.45275550000951625,28.0,2683.0,25,0.1,1000
103,103,0.4569977000064682,28.0,2709.0,25,0.1,1000
104,104,0.4612799000169616,28.0,2735.0,25,0.1,1000
105,105,0.46563310001511127,28.0,2761.0,25,0.1,1000
106,106,0.4701130000175908,28.0,2787.0,25,0.1,1000
