,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0017173000087495893,10.0,10.0,True,10,0.2,1000
1,1,0.4519334000069648,13.0,22.0,True,10,0.2,1000
2,2,0.9175565000041388,13.0,33.0,True,10,0.2,1000
3,3,1.5866454000060912,13.0,44.0,True,10,0.2,1000
4,4,2.2341697000083514,13.0,55.0,True,10,0.2,1000
5,5,2.8475159000081476,13.0,66.0,True,10,0.2,1000
6,6,3.497940600005677,13.0,77.0,True,10,0.2,1000
7,7,4.120031500002369,13.0,88.0,True,10,0.2,1000
8,8,4.781396100006532,13.0,99.0,True,10,0.2,1000
9,9,5.419372999982443,13.0,110.0,True,10,0.2,1000
10,10,6.087180400005309,13.0,121.0,True,10,0.2,1000
11,11,6.767121599987149,13.0,132.0,True,10,0.2,1000
12,12,7.495227300008992,13.0,143.0,True,10,0.2,1000
13,13,8.11915849999059,13.0,154.0,True,10,0.2,1000
14,14,8.778744599985657,13.0,165.0,True,10,0.2,1000
15,15,9.455126599990763,13.0,176.0,True,10,0.2,1000
16,16,10.145744299981743,13.0,187.0,True,10,0.2,1000
17,17,10.80944690000615,13.0,198.0,True,10,0.2,1000
18,18,11.527405700006057,13.0,209.0,True,10,0.2,1000
19,19,12.247090499993647,13.0,220.0,True,10,0.2,1000
20,20,12.929792599985376,13.0,231.0,True,10,0.2,1000
21,21,13.614264700008789,13.0,242.0,True,10,0.2,1000
22,22,14.313234800007194,13.0,253.0,True,10,0.2,1000
23,23,15.041695299994899,13.0,264.0,True,10,0.2,1000
24,24,15.849307299999055,13.0,275.0,True,10,0.2,1000
25,25,16.59760899998946,13.0,286.0,True,10,0.2,1000
26,26,17.363844200008316,13.0,297.0,True,10,0.2,1000
27,27,18.058897999988403,13.0,308.0,True,10,0.2,1000
28,28,18.735165399994003,13.0,319.0,True,10,0.2,1000
29,29,19.41215170000214,13.0,330.0,True,10,0.2,1000
30,30,20.106929400004447,13.0,341.0,True,10,0.2,1000
31,31,20.79182819998823,13.0,352.0,True,10,0.2,1000
32,32,21.511656799993943,13.0,363.0,True,10,0.2,1000
33,33,22.183195599995088,13.0,374.0,True,10,0.2,1000
34,34,22.84013880000566,13.0,385.0,True,10,0.2,1000
35,35,23.574968400003854,13.0,396.0,True,10,0.2,1000
36,36,24.359988299984252,13.0,407.0,True,10,0.2,1000
37,37,25.114312899997458,13.0,418.0,True,10,0.2,1000
38,38,25.83134840001003,13.0,429.0,True,10,0.2,1000
39,39,26.547169800003758,13.0,440.0,True,10,0.2,1000
40,40,27.256222199997865,13.0,451.0,True,10,0.2,1000
41,41,27.92822209998849,13.0,462.0,True,10,0.2,1000
42,42,28.583059500000672,13.0,473.0,True,10,0.2,1000
43,43,29.242895000003045,13.0,484.0,True,10,0.2,1000
44,44,29.901568200002657,13.0,495.0,True,10,0.2,1000
45,45,30.57714670000132,13.0,506.0,True,10,0.2,1000
46,46,31.258622900000773,13.0,517.0,True,10,0.2,1000
47,47,32.02994899998885,13.0,528.0,True,10,0.2,1000
48,48,32.80900169999222,13.0,539.0,True,10,0.2,1000
49,49,33.50449729998945,13.0,550.0,True,10,0.2,1000
50,50,34.150949700007914,13.0,561.0,True,10,0.2,1000
51,51,34.8061030000099,13.0,572.0,True,10,0.2,1000
52,52,35.49293360000593,13.0,583.0,True,10,0.2,1000
53,53,36.20154680000269,13.0,594.0,True,10,0.2,1000
54,54,36.96302530000685,13.0,605.0,True,10,0.2,1000
55,55,37.66925310000079,13.0,616.0,True,10,0.2,1000
56,56,38.422343899990665,13.0,627.0,True,10,0.2,1000
57,57,39.135346399998525,13.0,638.0,True,10,0.2,1000
58,58,39.8515122999961,13.0,649.0,True,10,0.2,1000
59,59,40.59842649998609,13.0,660.0,True,10,0.2,1000
60,60,41.33964059999562,13.0,671.0,True,10,0.2,1000
61,61,42.06222130000242,13.0,682.0,True,10,0.2,1000
62,62,42.77557729999535,13.0,693.0,True,10,0.2,1000
63,63,43.58272499998566,13.0,704.0,True,10,0.2,1000
64,64,44.23338910000166,13.0,715.0,True,10,0.2,1000
65,65,44.91702689998783,13.0,726.0,True,10,0.2,1000
66,66,45.56511140000657,13.0,737.0,True,10,0.2,1000
67,67,46.23275160000776,13.0,748.0,True,10,0.2,1000
68,68,46.883828999998514,13.0,759.0,True,10,0.2,1000
69,69,47.55913400001009,13.0,770.0,True,10,0.2,1000
70,70,48.23931659999653,13.0,781.0,True,10,0.2,1000
71,71,48.91206090000924,13.0,792.0,True,10,0.2,1000
72,72,49.58811439998681,13.0,803.0,True,10,0.2,1000
73,73,50.23877189998166,13.0,814.0,True,10,0.2,1000
74,74,50.90282779998961,13.0,825.0,True,10,0.2,1000
75,75,51.58379939998849,13.0,836.0,True,10,0.2,1000
76,76,52.22286229999736,13.0,847.0,True,10,0.2,1000
77,77,52.95408019999741,13.0,858.0,True,10,0.2,1000
78,78,53.837948700005654,13.0,869.0,True,10,0.2,1000
79,79,54.62577389998478,13.0,880.0,True,10,0.2,1000
80,80,55.380805599997984,13.0,891.0,True,10,0.2,1000
81,81,56.15031799999997,13.0,902.0,True,10,0.2,1000
82,82,56.82573149999371,13.0,913.0,True,10,0.2,1000
83,83,57.46921169999405,13.0,924.0,True,10,0.2,1000
84,84,58.123775299987756,13.0,935.0,True,10,0.2,1000
85,85,58.77031469999929,13.0,946.0,True,10,0.2,1000
86,86,59.43387390000862,13.0,957.0,True,10,0.2,1000
87,87,60.06977239999105,13.0,968.0,True,10,0.2,1000
88,88,60.6994916999829,13.0,979.0,True,10,0.2,1000
89,89,61.35373589998926,13.0,990.0,True,10,0.2,1000
90,90,62.00647960000788,13.0,1001.0,True,10,0.2,1000
91,91,62.66589189998922,13.0,1012.0,True,10,0.2,1000
92,92,63.324148099985905,13.0,1023.0,True,10,0.2,1000
93,93,63.96964070000104,13.0,1034.0,True,10,0.2,1000
94,94,64.60506269999314,13.0,1045.0,True,10,0.2,1000
95,95,65.25164440000663,13.0,1056.0,True,10,0.2,1000
96,96,65.88431200000923,13.0,1067.0,True,10,0.2,1000
97,97,66.55878359999042,13.0,1078.0,True,10,0.2,1000
98,98,67.19435760000488,13.0,1089.0,True,10,0.2,1000
99,99,67.80585999999312,13.0,1100.0,True,10,0.2,1000
100,100,68.43579089999548,13.0,1111.0,True,10,0.2,1000
101,101,69.07170579998638,13.0,1122.0,True,10,0.2,1000
102,102,69.70946479999111,13.0,1133.0,True,10,0.2,1000
103,103,70.35095389999333,13.0,1144.0,True,10,0.2,1000
104,104,70.94499190000352,13.0,1155.0,True,10,0.2,1000
105,105,71.56592699998873,13.0,1166.0,True,10,0.2,1000
106,106,72.19963819999248,13.0,1177.0,True,10,0.2,1000
107,107,72.82914919999894,13.0,1188.0,True,10,0.2,1000
108,108,73.45321979999426,13.0,1199.0,True,10,0.2,1000
109,109,74.07653309998568,13.0,1210.0,True,10,0.2,1000
110,110,74.72556600000826,13.0,1221.0,True,10,0.2,1000
111,111,75.34249239999917,13.0,1232.0,True,10,0.2,1000
112,112,75.94941470000776,13.0,1243.0,True,10,0.2,1000
113,113,76.5672985999845,13.0,1254.0,True,10,0.2,1000
114,114,77.1823441000015,13.0,1265.0,True,10,0.2,1000
115,115,77.79945649998263,13.0,1276.0,True,10,0.2,1000
116,116,78.43116889998782,13.0,1287.0,True,10,0.2,1000
117,117,79.06225590000395,13.0,1298.0,True,10,0.2,1000
118,118,79.684385200002,13.0,1309.0,True,10,0.2,1000
119,119,80.31694160000188,13.0,1320.0,True,10,0.2,1000
120,120,80.93610739998985,13.0,1331.0,True,10,0.2,1000
121,121,81.54846489999909,13.0,1342.0,True,10,0.2,1000
122,122,82.16342420000001,13.0,1353.0,True,10,0.2,1000
123,123,82.78735209998558,13.0,1364.0,True,10,0.2,1000
124,124,83.41056250000838,13.0,1375.0,True,10,0.2,1000
125,125,84.04666530000395,13.0,1386.0,True,10,0.2,1000
126,126,84.6839389000088,13.0,1397.0,True,10,0.2,1000
127,127,85.29565690000891,13.0,1408.0,True,10,0.2,1000
128,128,85.89857699998538,13.0,1419.0,True,10,0.2,1000
129,129,86.51730059998226,13.0,1430.0,True,10,0.2,1000
130,130,87.13471899999422,13.0,1441.0,True,10,0.2,1000
131,131,87.77118509999127,13.0,1452.0,True,10,0.2,1000
132,132,88.38238080000156,13.0,1463.0,True,10,0.2,1000
133,133,89.00196329999017,13.0,1474.0,True,10,0.2,1000
134,134,89.6658127999981,13.0,1485.0,True,10,0.2,1000
135,135,90.28826599998865,13.0,1496.0,True,10,0.2,1000
136,136,90.91219539998565,13.0,1507.0,True,10,0.2,1000
137,137,91.51267409999855,13.0,1518.0,True,10,0.2,1000
138,138,92.14071509998757,13.0,1529.0,True,10,0.2,1000
139,139,92.74366489998647,13.0,1540.0,True,10,0.2,1000
140,140,93.37949600000866,13.0,1551.0,True,10,0.2,1000
141,141,93.98375759998453,13.0,1562.0,True,10,0.2,1000
142,142,94.593323100009,13.0,1573.0,True,10,0.2,1000
143,143,95.21298779998324,13.0,1584.0,True,10,0.2,1000
144,144,95.82215629998245,13.0,1595.0,True,10,0.2,1000
145,145,96.42426870000781,13.0,1606.0,True,10,0.2,1000
146,146,97.04707420000341,13.0,1617.0,True,10,0.2,1000
147,147,97.68964269998833,13.0,1628.0,True,10,0.2,1000
148,148,98.35140250000404,13.0,1639.0,True,10,0.2,1000
