,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,0.0004030000127386302,10.0,0.0,0,1000,0
1,1,0.00877250000485219,10.0,1.0,0,1000,0
2,2,0.008928299997933209,10.0,2.0,0,1000,0
3,3,0.00907790000201203,10.0,3.0,0,1000,0
4,4,0.009227900009136647,10.0,4.0,0,1000,0
5,5,0.009378000017022714,10.0,5.0,0,1000,0
6,6,0.009533800010103732,10.0,6.0,0,1000,0
7,7,0.009684000018751249,10.0,7.0,0,1000,0
8,8,0.009835900011239573,10.0,8.0,0,1000,0
9,9,0.00998600001912564,10.0,9.0,0,1000,0
10,10,0.010134900017874315,10.0,10.0,0,1000,0
11,11,0.010283400013577193,10.0,11.0,0,1000,0
12,12,0.010431300004711375,10.0,12.0,0,1000,0
13,13,0.010579800000414252,10.0,13.0,0,1000,0
14,14,0.010727400018367916,10.0,14.0,0,1000,0
15,15,0.010877200023969635,10.0,15.0,0,1000,0
16,16,0.011025900021195412,10.0,16.0,0,1000,0
17,17,0.011176200001500547,10.0,17.0,0,1000,0
18,18,0.011326700012432411,10.0,18.0,0,1000,0
19,19,0.011477200023364276,10.0,19.0,0,1000,0
20,20,0.011625700019067153,10.0,20.0,0,1000,0
21,21,0.011786400020355359,10.0,21.0,0,1000,0
22,22,0.011936900002183393,10.0,22.0,0,1000,0
23,23,0.012088000017683953,10.0,23.0,0,1000,0
24,24,0.012241500022355467,10.0,24.0,0,1000,0
25,25,0.012394100020173937,10.0,25.0,0,1000,0
26,26,0.012545800011139363,10.0,26.0,0,1000,0
27,27,0.012698000005912036,10.0,27.0,0,1000,0
28,28,0.012851300009060651,10.0,28.0,0,1000,0
29,29,0.013003400003071874,10.0,29.0,0,1000,0
30,30,0.013156000000890344,10.0,30.0,0,1000,0
31,31,0.013308299996424466,10.0,31.0,0,1000,0
32,32,0.013461299997288734,10.0,32.0,0,1000,0
33,33,0.013617800024803728,10.0,33.0,0,1000,0
34,34,0.013774200022453442,10.0,34.0,0,1000,0
35,35,0.01392710002255626,10.0,35.0,0,1000,0
36,36,0.014080499997362494,10.0,36.0,0,1000,0
37,37,0.014233499998226762,10.0,37.0,0,1000,0
38,38,0.014387200004421175,10.0,38.0,0,1000,0
39,39,0.014541500015184283,10.0,39.0,0,1000,0
40,40,0.014697300008265302,10.0,40.0,0,1000,0
41,41,0.014852499996777624,10.0,41.0,0,1000,0
42,42,0.01500710000982508,10.0,42.0,0,1000,0
43,43,0.015161800023633987,10.0,43.0,0,1000,0
44,44,0.015317500015953556,10.0,44.0,0,1000,0
45,45,0.015471899998374283,10.0,45.0,0,1000,0
46,46,0.015626100008375943,10.0,46.0,0,1000,0
47,47,0.015793099999427795,10.0,47.0,0,1000,0
48,48,0.0159511000092607,10.0,48.0,0,1000,0
49,49,0.016108600015286356,10.0,49.0,0,1000,0
50,50,0.016264700010651723,10.0,50.0,0,1000,0
51,51,0.01641900002141483,10.0,51.0,0,1000,0
52,52,0.01657620002515614,10.0,52.0,0,1000,0
53,53,0.016732200019760057,10.0,53.0,0,1000,0
54,54,0.01688860001740977,10.0,54.0,0,1000,0
55,55,0.01704450001125224,10.0,55.0,0,1000,0
56,56,0.01720170001499355,10.0,56.0,0,1000,0
57,57,0.017358100012643263,10.0,57.0,0,1000,0
58,58,0.01751410000724718,10.0,58.0,0,1000,0
59,59,0.017670700006419793,10.0,59.0,0,1000,0
60,60,0.017829000018537045,10.0,60.0,0,1000,0
61,61,0.017986200022278354,10.0,61.0,0,1000,0
