,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,0.0004023000074084848,10.0,0.0,0.1,1000
1,1,0.006759500014595687,10.0,2.0,0.1,1000
2,2,0.007057000009808689,10.0,4.0,0.1,1000
3,3,0.007348400016780943,10.0,6.0,0.1,1000
4,4,0.007638100010808557,10.0,8.0,0.1,1000
5,5,0.007923100027255714,10.0,10.0,0.1,1000
6,6,0.008202700002584606,10.0,12.0,0.1,1000
7,7,0.008478000003378838,10.0,14.0,0.1,1000
8,8,0.008748600026592612,10.0,16.0,0.1,1000
9,9,0.009020900004543364,10.0,18.0,0.1,1000
10,10,0.009290700021665543,10.0,20.0,0.1,1000
11,11,0.009561800019582734,10.0,22.0,0.1,1000
12,12,0.00983630001428537,10.0,24.0,0.1,1000
13,13,0.010107800015248358,10.0,26.0,0.1,1000
14,14,0.010379500017734244,10.0,28.0,0.1,1000
15,15,0.010652299999492243,10.0,30.0,0.1,1000
16,16,0.010923300025751814,10.0,32.0,0.1,1000
17,17,0.011197000014362857,10.0,34.0,0.1,1000
18,18,0.011470200028270483,10.0,36.0,0.1,1000
19,19,0.011613700015004724,10.0,37.0,0.1,1000
20,20,0.011886700027389452,10.0,39.0,0.1,1000
21,21,0.012161600025137886,10.0,41.0,0.1,1000
22,22,0.012433900003088638,10.0,43.0,0.1,1000
23,23,0.012706900015473366,10.0,45.0,0.1,1000
24,24,0.012979200022527948,10.0,47.0,0.1,1000
25,25,0.013256700010970235,10.0,49.0,0.1,1000
26,26,0.013531900011003017,10.0,51.0,0.1,1000
27,27,0.013803900015773252,10.0,53.0,0.1,1000
28,28,0.014078600011998788,10.0,55.0,0.1,1000
29,29,0.014352500002132729,10.0,57.0,0.1,1000
30,30,0.014626300020609051,10.0,59.0,0.1,1000
31,31,0.014967000024626032,10.0,61.0,0.1,1000
32,32,0.015252200013492256,10.0,63.0,0.1,1000
33,33,0.015524700022069737,10.0,65.0,0.1,1000
34,34,0.01583230000687763,10.0,67.0,0.1,1000
35,35,0.01611990001401864,10.0,69.0,0.1,1000
36,36,0.016384700022172183,10.0,71.0,0.1,1000
37,37,0.01664880002499558,10.0,73.0,0.1,1000
38,38,0.016913200000999495,10.0,75.0,0.1,1000
39,39,0.01717930001905188,10.0,77.0,0.1,1000
40,40,0.017443700024159625,10.0,79.0,0.1,1000
41,41,0.017709000007016584,10.0,81.0,0.1,1000
42,42,0.017974600021261722,10.0,83.0,0.1,1000
43,43,0.01824180001858622,10.0,85.0,0.1,1000
44,44,0.018505900021409616,10.0,87.0,0.1,1000
45,45,0.01877059999969788,10.0,89.0,0.1,1000
46,46,0.01903580001089722,10.0,91.0,0.1,1000
47,47,0.01930070001981221,10.0,93.0,0.1,1000
48,48,0.01956460002111271,10.0,95.0,0.1,1000
49,49,0.01982970000244677,10.0,97.0,0.1,1000
50,50,0.020094500010600314,10.0,99.0,0.1,1000
51,51,0.0203631000185851,10.0,101.0,0.1,1000
52,52,0.020628700003726408,10.0,103.0,0.1,1000
53,53,0.020894300017971545,10.0,105.0,0.1,1000
54,54,0.02116770000429824,10.0,107.0,0.1,1000
55,55,0.021440900018205866,10.0,109.0,0.1,1000
56,56,0.02171150001231581,10.0,111.0,0.1,1000
57,57,0.02185670001199469,10.0,112.0,0.1,1000
58,58,0.02213070000289008,10.0,114.0,0.1,1000
59,59,0.02240620000520721,10.0,116.0,0.1,1000
60,60,0.022680200025206432,10.0,118.0,0.1,1000
61,61,0.022954100015340373,10.0,120.0,0.1,1000
62,62,0.023227600002428517,10.0,122.0,0.1,1000
63,63,0.023500200011767447,10.0,124.0,0.1,1000
64,64,0.023773300024913624,10.0,126.0,0.1,1000
65,65,0.024047500017331913,10.0,128.0,0.1,1000
66,66,0.02433390001533553,10.0,130.0,0.1,1000
67,67,0.024606900027720258,10.0,132.0,0.1,1000
68,68,0.0248808000178542,10.0,134.0,0.1,1000
69,69,0.025160300021525472,10.0,136.0,0.1,1000
70,70,0.025436700001591817,10.0,138.0,0.1,1000
71,71,0.025712800008477643,10.0,140.0,0.1,1000
72,72,0.02598860001307912,10.0,142.0,0.1,1000
73,73,0.026263800013111904,10.0,144.0,0.1,1000
74,74,0.02653860001009889,10.0,146.0,0.1,1000
75,75,0.026819100021384656,10.0,148.0,0.1,1000
76,76,0.027093200013041496,10.0,150.0,0.1,1000
77,77,0.02737140000681393,10.0,152.0,0.1,1000
78,78,0.027645800000755116,10.0,154.0,0.1,1000
79,79,0.027921200002310798,10.0,156.0,0.1,1000
80,80,0.028196800005389377,10.0,158.0,0.1,1000
81,81,0.028472700010752305,10.0,160.0,0.1,1000
82,82,0.02874900001916103,10.0,162.0,0.1,1000
83,83,0.029025700001511723,10.0,164.0,0.1,1000
84,84,0.029301900009159,10.0,166.0,0.1,1000
85,85,0.029579200025182217,10.0,168.0,0.1,1000
86,86,0.029858500027330592,10.0,170.0,0.1,1000
87,87,0.03013410000130534,10.0,172.0,0.1,1000
88,88,0.0304160000232514,10.0,174.0,0.1,1000
89,89,0.030699599999934435,10.0,176.0,0.1,1000
90,90,0.030982800002675503,10.0,178.0,0.1,1000
91,91,0.03134150002733804,10.0,180.0,0.1,1000
92,92,0.03165030002128333,10.0,182.0,0.1,1000
93,93,0.03195280002546497,10.0,184.0,0.1,1000
94,94,0.0322372000082396,10.0,186.0,0.1,1000
95,95,0.03262680000625551,10.0,188.0,0.1,1000
96,96,0.03292250001686625,10.0,190.0,0.1,1000
97,97,0.03321650001453236,10.0,192.0,0.1,1000
98,98,0.03350990000762977,10.0,194.0,0.1,1000
99,99,0.033804900012910366,10.0,196.0,0.1,1000
100,100,0.03410330001497641,10.0,198.0,0.1,1000
101,101,0.03439530002651736,10.0,200.0,0.1,1000
102,102,0.03471870001521893,10.0,202.0,0.1,1000
103,103,0.035009500017622486,10.0,204.0,0.1,1000
104,104,0.03529820000403561,10.0,206.0,0.1,1000
105,105,0.03558820000034757,10.0,208.0,0.1,1000
106,106,0.035877700021956116,10.0,210.0,0.1,1000
107,107,0.03617800000938587,10.0,212.0,0.1,1000
108,108,0.036470400023972616,10.0,214.0,0.1,1000
109,109,0.03684350001276471,10.0,216.0,0.1,1000
110,110,0.03716500001610257,10.0,218.0,0.1,1000
111,111,0.037473400007002056,10.0,220.0,0.1,1000
112,112,0.03780140000162646,10.0,222.0,0.1,1000
113,113,0.03815420001046732,10.0,224.0,0.1,1000
114,114,0.038472200016258284,10.0,226.0,0.1,1000
115,115,0.03878810000605881,10.0,228.0,0.1,1000
116,116,0.038965400017332286,10.0,229.0,0.1,1000
117,117,0.03928590001305565,10.0,231.0,0.1,1000
118,118,0.03962510000565089,10.0,233.0,0.1,1000
119,119,0.03993960001389496,10.0,235.0,0.1,1000
