,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.000374399998690933,87.0,0.0,25,0.1,1000
1,1,0.006710899993777275,110.0,2.0,25,0.1,1000
2,2,0.00754729998880066,110.0,3.0,25,0.1,1000
3,3,0.008422299986705184,116.0,5.0,25,0.1,1000
4,4,0.009268299996620044,116.0,6.0,25,0.1,1000
5,5,0.010107000009156764,116.0,7.0,25,0.1,1000
6,6,0.01094770000781864,118.0,9.0,25,0.1,1000
7,7,0.01176850000047125,123.0,11.0,25,0.1,1000
8,8,0.01255369998398237,123.0,12.0,25,0.1,1000
9,9,0.013386799982981756,123.0,13.0,25,0.1,1000
10,10,0.014170399983413517,123.0,14.0,25,0.1,1000
11,11,0.015031899994937703,124.0,16.0,25,0.1,1000
12,12,0.015846499998588115,124.0,17.0,25,0.1,1000
13,13,0.016694399993866682,124.0,18.0,25,0.1,1000
14,14,0.017713199980789796,127.0,20.0,25,0.1,1000
15,15,0.018506299995351583,127.0,21.0,25,0.1,1000
16,16,0.01936299999943003,129.0,23.0,25,0.1,1000
17,17,0.020182699983706698,130.0,25.0,25,0.1,1000
18,18,0.021070799994049594,133.0,27.0,25,0.1,1000
19,19,0.021866499999305233,133.0,28.0,25,0.1,1000
20,20,0.02268910000566393,133.0,29.0,25,0.1,1000
21,21,0.023552800004836172,137.0,31.0,25,0.1,1000
22,22,0.02439439998124726,137.0,32.0,25,0.1,1000
23,23,0.025186699989717454,137.0,33.0,25,0.1,1000
24,24,0.02597679998143576,137.0,34.0,25,0.1,1000
25,25,0.026807599992025644,139.0,36.0,25,0.1,1000
26,26,0.027597499982221052,139.0,37.0,25,0.1,1000
27,27,0.028376500005833805,139.0,38.0,25,0.1,1000
28,28,0.02915779998875223,139.0,39.0,25,0.1,1000
29,29,0.029924999980721623,139.0,40.0,25,0.1,1000
30,30,0.030722900002729148,139.0,41.0,25,0.1,1000
31,31,0.03154299999005161,141.0,43.0,25,0.1,1000
32,32,0.032323499995982274,141.0,44.0,25,0.1,1000
33,33,0.033312899991869926,141.0,45.0,25,0.1,1000
34,34,0.03416720000677742,141.0,46.0,25,0.1,1000
35,35,0.034951699984958395,141.0,47.0,25,0.1,1000
36,36,0.035756099998252466,143.0,49.0,25,0.1,1000
37,37,0.03651999999419786,143.0,50.0,25,0.1,1000
38,38,0.037290000007487833,143.0,51.0,25,0.1,1000
39,39,0.03803850000258535,143.0,52.0,25,0.1,1000
40,40,0.03878360000089742,143.0,53.0,25,0.1,1000
41,41,0.03953839998575859,143.0,54.0,25,0.1,1000
42,42,0.040280999994138256,143.0,55.0,25,0.1,1000
43,43,0.04106540000066161,143.0,56.0,25,0.1,1000
44,44,0.04180909998831339,143.0,57.0,25,0.1,1000
45,45,0.0425624999916181,143.0,58.0,25,0.1,1000
46,46,0.043316900002537295,143.0,59.0,25,0.1,1000
47,47,0.04407760000322014,143.0,60.0,25,0.1,1000
48,48,0.04496480000670999,145.0,62.0,25,0.1,1000
49,49,0.045727499993517995,145.0,63.0,25,0.1,1000
50,50,0.04649400000926107,145.0,64.0,25,0.1,1000
51,51,0.047258100006729364,145.0,65.0,25,0.1,1000
52,52,0.04804100000183098,145.0,66.0,25,0.1,1000
53,53,0.048847600002773106,145.0,67.0,25,0.1,1000
54,54,0.049639100005151704,145.0,68.0,25,0.1,1000
55,55,0.05062799999723211,145.0,69.0,25,0.1,1000
56,56,0.0514917999971658,147.0,71.0,25,0.1,1000
57,57,0.0522550999885425,147.0,72.0,25,0.1,1000
58,58,0.05309669999405742,147.0,73.0,25,0.1,1000
59,59,0.0538685999927111,147.0,74.0,25,0.1,1000
60,60,0.054640599992126226,147.0,75.0,25,0.1,1000
61,61,0.055405199993401766,147.0,76.0,25,0.1,1000
62,62,0.056159700005082414,147.0,77.0,25,0.1,1000
63,63,0.056948999990709126,147.0,78.0,25,0.1,1000
64,64,0.05770139998639934,147.0,79.0,25,0.1,1000
65,65,0.058673899999121204,147.0,80.0,25,0.1,1000
66,66,0.05944179999642074,147.0,81.0,25,0.1,1000
67,67,0.06020889998762868,147.0,82.0,25,0.1,1000
68,68,0.0611186999885831,147.0,83.0,25,0.1,1000
69,69,0.061977699981071055,147.0,84.0,25,0.1,1000
70,70,0.06276010000146925,147.0,85.0,25,0.1,1000
71,71,0.06353159999707714,147.0,86.0,25,0.1,1000
72,72,0.06430369999725372,147.0,87.0,25,0.1,1000
73,73,0.06514500000048429,147.0,88.0,25,0.1,1000
74,74,0.06591010000556707,147.0,89.0,25,0.1,1000
75,75,0.06687609999789856,147.0,90.0,25,0.1,1000
76,76,0.06862189999083057,147.0,91.0,25,0.1,1000
77,77,0.06963690000702627,147.0,92.0,25,0.1,1000
78,78,0.07045800000196323,147.0,93.0,25,0.1,1000
79,79,0.07129259998328052,147.0,94.0,25,0.1,1000
80,80,0.0721252000075765,147.0,95.0,25,0.1,1000
81,81,0.07304160000057891,147.0,96.0,25,0.1,1000
82,82,0.07385339998290874,147.0,97.0,25,0.1,1000
83,83,0.07462309999391437,147.0,98.0,25,0.1,1000
84,84,0.07541930000297725,147.0,99.0,25,0.1,1000
85,85,0.07618469998124056,147.0,100.0,25,0.1,1000
86,86,0.07703459999174811,147.0,101.0,25,0.1,1000
87,87,0.07787239999743178,147.0,102.0,25,0.1,1000
88,88,0.07862699998077005,147.0,103.0,25,0.1,1000
89,89,0.07945119999931194,149.0,105.0,25,0.1,1000
90,90,0.08021889999508858,149.0,106.0,25,0.1,1000
91,91,0.08108450000872836,149.0,107.0,25,0.1,1000
92,92,0.08187709999037907,149.0,108.0,25,0.1,1000
93,93,0.08273999998345971,151.0,110.0,25,0.1,1000
94,94,0.08370250000734814,151.0,111.0,25,0.1,1000
95,95,0.08454749998054467,151.0,112.0,25,0.1,1000
96,96,0.08552719998988323,151.0,113.0,25,0.1,1000
97,97,0.08643679998931475,151.0,114.0,25,0.1,1000
98,98,0.08729930000845343,151.0,115.0,25,0.1,1000
99,99,0.08819809998385608,151.0,116.0,25,0.1,1000
100,100,0.08922759999404661,151.0,117.0,25,0.1,1000
101,101,0.09003369999118149,151.0,118.0,25,0.1,1000
102,102,0.09084610000718385,151.0,119.0,25,0.1,1000
103,103,0.0917143999831751,151.0,120.0,25,0.1,1000
104,104,0.09255010000197217,151.0,121.0,25,0.1,1000
105,105,0.09356779998051934,151.0,122.0,25,0.1,1000
106,106,0.0944164999818895,151.0,123.0,25,0.1,1000
107,107,0.09525919999578036,151.0,124.0,25,0.1,1000
108,108,0.0960921999940183,151.0,125.0,25,0.1,1000
109,109,0.09694679998210631,151.0,126.0,25,0.1,1000
110,110,0.09774520000792108,151.0,127.0,25,0.1,1000
111,111,0.0985318000020925,151.0,128.0,25,0.1,1000
112,112,0.09932740000658669,151.0,129.0,25,0.1,1000
113,113,0.10019299999112263,151.0,130.0,25,0.1,1000
114,114,0.10106180000002496,151.0,131.0,25,0.1,1000
115,115,0.10189180000452325,151.0,132.0,25,0.1,1000
116,116,0.10269299999345094,151.0,133.0,25,0.1,1000
117,117,0.10349340000539087,151.0,134.0,25,0.1,1000
118,118,0.10429099999601021,151.0,135.0,25,0.1,1000
119,119,0.10513879999052733,151.0,136.0,25,0.1,1000
120,120,0.10593379999045283,151.0,137.0,25,0.1,1000
121,121,0.10674650000873953,151.0,138.0,25,0.1,1000
122,122,0.10754259998793714,151.0,139.0,25,0.1,1000
123,123,0.10834859998431057,151.0,140.0,25,0.1,1000
124,124,0.10916739999083802,151.0,141.0,25,0.1,1000
125,125,0.10996629999135621,151.0,142.0,25,0.1,1000
126,126,0.11075809999601915,151.0,143.0,25,0.1,1000
127,127,0.11156329998630099,151.0,144.0,25,0.1,1000
128,128,0.11235579999629408,151.0,145.0,25,0.1,1000
129,129,0.11318109999410808,151.0,146.0,25,0.1,1000
130,130,0.11397730000317097,151.0,147.0,25,0.1,1000
131,131,0.11478629999328405,151.0,148.0,25,0.1,1000
132,132,0.11558519999380223,151.0,149.0,25,0.1,1000
133,133,0.11651669998536818,151.0,150.0,25,0.1,1000
134,134,0.11736489998293109,151.0,151.0,25,0.1,1000
135,135,0.11815900000510737,151.0,152.0,25,0.1,1000
136,136,0.118964599998435,151.0,153.0,25,0.1,1000
137,137,0.11975029998575337,151.0,154.0,25,0.1,1000
138,138,0.12070219998713583,151.0,155.0,25,0.1,1000
139,139,0.12156719999620691,151.0,156.0,25,0.1,1000
140,140,0.12236639999900945,151.0,157.0,25,0.1,1000
141,141,0.12325370000326075,151.0,158.0,25,0.1,1000
142,142,0.12407950000488199,151.0,159.0,25,0.1,1000
143,143,0.12491169999702834,151.0,160.0,25,0.1,1000
144,144,0.12574909999966621,151.0,161.0,25,0.1,1000
145,145,0.12658129999181256,151.0,162.0,25,0.1,1000
146,146,0.12740900000790134,151.0,163.0,25,0.1,1000
147,147,0.12826150000910275,151.0,164.0,25,0.1,1000
148,148,0.12910130000091158,151.0,165.0,25,0.1,1000
149,149,0.12993639998603612,151.0,166.0,25,0.1,1000
150,150,0.13078939999104477,151.0,167.0,25,0.1,1000
151,151,0.1316600999853108,151.0,168.0,25,0.1,1000
152,152,0.13250159999006428,151.0,169.0,25,0.1,1000
153,153,0.13346419998561032,153.0,171.0,25,0.1,1000
154,154,0.13431319998926483,153.0,172.0,25,0.1,1000
155,155,0.1351686999842059,153.0,173.0,25,0.1,1000
156,156,0.13601119999657385,153.0,174.0,25,0.1,1000
157,157,0.13684980000834912,153.0,175.0,25,0.1,1000
158,158,0.1377034999895841,153.0,176.0,25,0.1,1000
159,159,0.13853309999103658,153.0,177.0,25,0.1,1000
160,160,0.1393728999828454,153.0,178.0,25,0.1,1000
161,161,0.14020510000409558,153.0,179.0,25,0.1,1000
162,162,0.14104039999074303,153.0,180.0,25,0.1,1000
163,163,0.1418740999943111,153.0,181.0,25,0.1,1000
164,164,0.14271260000532493,153.0,182.0,25,0.1,1000
165,165,0.14354789999197237,153.0,183.0,25,0.1,1000
166,166,0.1443849999923259,153.0,184.0,25,0.1,1000
167,167,0.14522259999648668,153.0,185.0,25,0.1,1000
168,168,0.1460609000059776,153.0,186.0,25,0.1,1000
169,169,0.1468934000004083,153.0,187.0,25,0.1,1000
170,170,0.14774849999230355,153.0,188.0,25,0.1,1000
171,171,0.1486348999897018,153.0,189.0,25,0.1,1000
172,172,0.14942999999038875,153.0,190.0,25,0.1,1000
173,173,0.15030789998127148,153.0,191.0,25,0.1,1000
174,174,0.1511506999959238,155.0,193.0,25,0.1,1000
175,175,0.15191489999415353,155.0,194.0,25,0.1,1000
176,176,0.15267419998417608,155.0,195.0,25,0.1,1000
177,177,0.15354490000754595,155.0,196.0,25,0.1,1000
178,178,0.15432370000053197,155.0,197.0,25,0.1,1000
179,179,0.15516920000663958,157.0,199.0,25,0.1,1000
