,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.0024360000097658485,69.0,25.0,25,0.1,1000
1,1,0.010226699989289045,53.0,52.0,25,0.1,1000
2,2,0.012818499992135912,53.0,78.0,25,0.1,1000
3,3,0.015480100002605468,51.0,105.0,25,0.1,1000
4,4,0.018144800007576123,49.0,132.0,25,0.1,1000
5,5,0.020892400003504008,48.0,159.0,25,0.1,1000
6,6,0.02352170000085607,44.0,186.0,25,0.1,1000
7,7,0.026209100004052743,43.0,213.0,25,0.1,1000
8,8,0.029233000008389354,43.0,239.0,25,0.1,1000
9,9,0.03200659999856725,43.0,265.0,25,0.1,1000
10,10,0.03463249999913387,42.0,292.0,25,0.1,1000
11,11,0.03724269999656826,40.0,319.0,25,0.1,1000
12,12,0.0398253999883309,40.0,345.0,25,0.1,1000
13,13,0.04252680001081899,39.0,372.0,25,0.1,1000
14,14,0.04541099999914877,36.0,399.0,25,0.1,1000
15,15,0.04885910000302829,34.0,426.0,25,0.1,1000
16,16,0.05165169999236241,34.0,452.0,25,0.1,1000
17,17,0.05435099999886006,33.0,479.0,25,0.1,1000
18,18,0.05699000001186505,33.0,505.0,25,0.1,1000
19,19,0.059829200006788597,31.0,532.0,25,0.1,1000
20,20,0.06256399999256246,29.0,559.0,25,0.1,1000
21,21,0.06521010000142269,29.0,585.0,25,0.1,1000
22,22,0.06808040000032634,29.0,611.0,25,0.1,1000
23,23,0.07121500000357628,29.0,637.0,25,0.1,1000
24,24,0.07391040000948124,28.0,664.0,25,0.1,1000
25,25,0.07645739999134094,28.0,690.0,25,0.1,1000
26,26,0.07938949999515899,27.0,717.0,25,0.1,1000
27,27,0.08212090001325123,27.0,743.0,25,0.1,1000
28,28,0.08493149999412708,27.0,769.0,25,0.1,1000
29,29,0.0876183999935165,27.0,795.0,25,0.1,1000
30,30,0.09034230001270771,27.0,821.0,25,0.1,1000
31,31,0.0929240999976173,27.0,847.0,25,0.1,1000
32,32,0.09818030000315048,27.0,873.0,25,0.1,1000
33,33,0.10392640001373366,26.0,900.0,25,0.1,1000
34,34,0.10865119998925366,26.0,926.0,25,0.1,1000
35,35,0.11138250000658445,26.0,952.0,25,0.1,1000
36,36,0.11424389999592677,26.0,978.0,25,0.1,1000
37,37,0.1170560999889858,26.0,1004.0,25,0.1,1000
38,38,0.11973979999311268,26.0,1030.0,25,0.1,1000
39,39,0.12233099999139085,26.0,1056.0,25,0.1,1000
40,40,0.12500749999890104,26.0,1082.0,25,0.1,1000
41,41,0.12771669999347068,24.0,1109.0,25,0.1,1000
42,42,0.1303100000077393,24.0,1135.0,25,0.1,1000
43,43,0.13335759998881258,24.0,1161.0,25,0.1,1000
44,44,0.13615810000919737,22.0,1188.0,25,0.1,1000
45,45,0.13884920001146384,22.0,1214.0,25,0.1,1000
46,46,0.14164059999166057,21.0,1241.0,25,0.1,1000
47,47,0.14435129999765195,21.0,1267.0,25,0.1,1000
48,48,0.14712219999637455,21.0,1293.0,25,0.1,1000
49,49,0.14991159999044612,21.0,1319.0,25,0.1,1000
50,50,0.15284279998741113,20.0,1346.0,25,0.1,1000
51,51,0.15562320000026375,20.0,1372.0,25,0.1,1000
52,52,0.15834260001429357,20.0,1398.0,25,0.1,1000
53,53,0.16141130001051351,20.0,1424.0,25,0.1,1000
54,54,0.16454960001283325,20.0,1450.0,25,0.1,1000
55,55,0.16776959999697283,20.0,1476.0,25,0.1,1000
56,56,0.17053169998689555,20.0,1502.0,25,0.1,1000
57,57,0.17327790000126697,20.0,1528.0,25,0.1,1000
58,58,0.1760372999997344,20.0,1554.0,25,0.1,1000
59,59,0.17880819999845698,20.0,1580.0,25,0.1,1000
60,60,0.1816333000024315,20.0,1606.0,25,0.1,1000
61,61,0.18431780001264997,20.0,1632.0,25,0.1,1000
62,62,0.18742939998628572,20.0,1658.0,25,0.1,1000
63,63,0.19005790000665002,20.0,1684.0,25,0.1,1000
64,64,0.192748000001302,20.0,1710.0,25,0.1,1000
65,65,0.19546710001304746,20.0,1736.0,25,0.1,1000
66,66,0.19832669998868369,20.0,1762.0,25,0.1,1000
67,67,0.20126739999977872,20.0,1788.0,25,0.1,1000
68,68,0.20399489998817444,20.0,1814.0,25,0.1,1000
69,69,0.2066865999950096,20.0,1840.0,25,0.1,1000
70,70,0.20941519999178126,20.0,1866.0,25,0.1,1000
71,71,0.21214139999938197,20.0,1892.0,25,0.1,1000
72,72,0.21496889999252744,20.0,1918.0,25,0.1,1000
73,73,0.21782980000716634,20.0,1944.0,25,0.1,1000
74,74,0.220821299997624,19.0,1971.0,25,0.1,1000
75,75,0.2235618999984581,19.0,1997.0,25,0.1,1000
76,76,0.22625669999979436,19.0,2023.0,25,0.1,1000
77,77,0.22896949999267235,19.0,2049.0,25,0.1,1000
78,78,0.23194530000910163,19.0,2075.0,25,0.1,1000
79,79,0.23484339998685755,18.0,2102.0,25,0.1,1000
80,80,0.2375418999872636,18.0,2128.0,25,0.1,1000
81,81,0.24026130000129342,18.0,2154.0,25,0.1,1000
82,82,0.24305469999671914,17.0,2181.0,25,0.1,1000
83,83,0.24578029999975115,17.0,2207.0,25,0.1,1000
84,84,0.24961130000883713,17.0,2233.0,25,0.1,1000
85,85,0.25342590000946075,17.0,2259.0,25,0.1,1000
86,86,0.2562512999866158,17.0,2285.0,25,0.1,1000
87,87,0.2589874000113923,17.0,2311.0,25,0.1,1000
88,88,0.26186989998677745,17.0,2337.0,25,0.1,1000
89,89,0.2660056999884546,17.0,2363.0,25,0.1,1000
90,90,0.26916629998595454,17.0,2389.0,25,0.1,1000
91,91,0.2719042999960948,17.0,2415.0,25,0.1,1000
92,92,0.27465450001182035,17.0,2441.0,25,0.1,1000
93,93,0.2773432999965735,17.0,2467.0,25,0.1,1000
94,94,0.27998749999096617,17.0,2493.0,25,0.1,1000
95,95,0.28496789999189787,17.0,2519.0,25,0.1,1000
96,96,0.2899737000116147,17.0,2545.0,25,0.1,1000
97,97,0.2947060999867972,17.0,2571.0,25,0.1,1000
98,98,0.2974963999877218,17.0,2597.0,25,0.1,1000
99,99,0.30035490001318976,17.0,2623.0,25,0.1,1000
100,100,0.3030894999974407,17.0,2649.0,25,0.1,1000
101,101,0.30581260001054034,17.0,2675.0,25,0.1,1000
