,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0010921999928541481,69.0,10.0,True,10,0.1,1000
1,1,0.03047530000912957,53.0,22.0,True,10,0.1,1000
2,2,0.057149400003254414,53.0,33.0,True,10,0.1,1000
3,3,0.08041960000991821,53.0,44.0,True,10,0.1,1000
4,4,0.10308070000610314,53.0,55.0,True,10,0.1,1000
5,5,0.130339900002582,53.0,66.0,True,10,0.1,1000
6,6,0.15345370001159608,53.0,77.0,True,10,0.1,1000
7,7,0.1776743000082206,53.0,88.0,True,10,0.1,1000
8,8,0.20069719999446534,53.0,99.0,True,10,0.1,1000
9,9,0.22711780000827275,53.0,110.0,True,10,0.1,1000
10,10,0.25461899998481385,53.0,121.0,True,10,0.1,1000
11,11,0.27670519999810494,53.0,132.0,True,10,0.1,1000
12,12,0.29838749999180436,53.0,143.0,True,10,0.1,1000
13,13,0.3198271000001114,53.0,154.0,True,10,0.1,1000
14,14,0.34333329999935813,53.0,165.0,True,10,0.1,1000
15,15,0.36553169999388047,53.0,176.0,True,10,0.1,1000
16,16,0.3954107000026852,53.0,187.0,True,10,0.1,1000
17,17,0.4206133999978192,53.0,198.0,True,10,0.1,1000
18,18,0.4437720999994781,53.0,209.0,True,10,0.1,1000
19,19,0.46689250000054017,53.0,220.0,True,10,0.1,1000
20,20,0.48985979999997653,53.0,231.0,True,10,0.1,1000
21,21,0.5136705999902915,53.0,242.0,True,10,0.1,1000
22,22,0.5368723999999929,53.0,253.0,True,10,0.1,1000
23,23,0.5602337000018451,53.0,264.0,True,10,0.1,1000
24,24,0.5830300000088755,53.0,275.0,True,10,0.1,1000
25,25,0.6047622000041883,53.0,286.0,True,10,0.1,1000
26,26,0.6267912999901455,53.0,297.0,True,10,0.1,1000
27,27,0.6492110000108369,53.0,308.0,True,10,0.1,1000
28,28,0.6717974999919534,53.0,319.0,True,10,0.1,1000
29,29,0.695721299998695,53.0,330.0,True,10,0.1,1000
30,30,0.7213159000093583,53.0,341.0,True,10,0.1,1000
31,31,0.7450904999859631,53.0,352.0,True,10,0.1,1000
